# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phiD
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiD	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.07669172932	0.2917316795	0.3977900926	1.36354781	1.003556163	1.003487524
0.07969924812	0.2917722194	0.3978443076	1.363544166	1.00369562	1.00362429
0.08270676692	0.2918127594	0.3978985225	1.363540523	1.003835078	1.003761056
0.08571428571	0.2918532994	0.3979527375	1.363536881	1.003974535	1.003897821
0.08872180451	0.2918938393	0.3980069524	1.36353324	1.004113993	1.004034587
0.09172932331	0.2919343793	0.3980611674	1.3635296	1.00425345	1.004171353
0.09473684211	0.2919749193	0.3981153823	1.363525961	1.004392907	1.004308118
0.0977443609	0.2920154592	0.3981695973	1.363522323	1.004532365	1.004444884
0.1007518797	0.2920559992	0.3982238122	1.363518686	1.004671822	1.00458165
0.1037593985	0.2920965392	0.3982780272	1.36351505	1.004811279	1.004718415
0.1067669173	0.2921370791	0.3983322421	1.363511415	1.004950737	1.004855181
0.1097744361	0.2921776191	0.3983864571	1.363507781	1.005090194	1.004991947
0.1127819549	0.2922181591	0.398440672	1.363504148	1.005229651	1.005128712
0.1157894737	0.292258699	0.398494887	1.363500516	1.005369109	1.005265478
0.1187969925	0.292299239	0.3985491019	1.363496885	1.005508566	1.005402244
0.1218045113	0.292339779	0.3986033169	1.363493255	1.005648024	1.005539009
0.1248120301	0.2923803189	0.3986575318	1.363489626	1.005787481	1.005675775
0.1278195489	0.2924208589	0.3987117468	1.363485999	1.005926938	1.005812541
0.1308270677	0.2924613989	0.3987659617	1.363482372	1.006066396	1.005949306
0.1338345865	0.2925019388	0.3988201767	1.363478746	1.006205853	1.006086072
0.1368421053	0.2925424788	0.3988743916	1.363475121	1.00634531	1.006222838
0.1398496241	0.2925830188	0.3989286066	1.363471497	1.006484768	1.006359603
0.1428571429	0.2926235587	0.3989828215	1.363467874	1.006624225	1.006496369
0.1458646617	0.2926640987	0.3990370365	1.363464252	1.006763683	1.006633135
0.1488721805	0.2927046387	0.3990912514	1.363460631	1.00690314	1.0067699
0.1518796992	0.2927451786	0.3991454664	1.363457012	1.007042597	1.006906666
0.154887218	0.2927857186	0.3991996813	1.363453393	1.007182055	1.007043432
0.1578947368	0.2928262586	0.3992538963	1.363449775	1.007321512	1.007180197
0.1609022556	0.2928667985	0.3993081112	1.363446158	1.007460969	1.007316963
0.1639097744	0.2929073385	0.3993623262	1.363442542	1.007600427	1.007453729
0.1669172932	0.2929478785	0.3994165411	1.363438927	1.007739884	1.007590494
0.169924812	0.2929884184	0.3994707561	1.363435313	1.007879342	1.00772726
0.1729323308	0.2930289584	0.3995249711	1.363431701	1.008018799	1.007864026
0.1759398496	0.2930694984	0.399579186	1.363428089	1.008158256	1.008000791
0.1789473684	0.2931100383	0.399633401	1.363424478	1.008297714	1.008137557
0.1819548872	0.2931505783	0.3996876159	1.363420868	1.008437171	1.008274323
0.184962406	0.2931911183	0.3997418309	1.363417259	1.008576628	1.008411088
0.1879699248	0.2932316582	0.3997960458	1.363413651	1.008716086	1.008547854
0.1909774436	0.2932721982	0.3998502608	1.363410044	1.008855543	1.00868462
0.1939849624	0.2933127382	0.3999044757	1.363406438	1.008995001	1.008821385
0.1969924812	0.2933532781	0.3999586907	1.363402834	1.009134458	1.008958151
0.2	0.2933938181	0.4000129056	1.36339923	1.009273915	1.009094917
0.2030075188	0.2934343581	0.4000671206	1.363395627	1.009413373	1.009231682
0.2060150376	0.293474898	0.4001213355	1.363392025	1.00955283	1.009368448
0.2090225564	0.293515438	0.4001755505	1.363388424	1.009692287	1.009505214
0.2120300752	0.293555978	0.4002297654	1.363384824	1.009831745	1.009641979
0.215037594	0.2935965179	0.4002839804	1.363381225	1.009971202	1.009778745
0.2180451128	0.2936370579	0.4003381953	1.363377627	1.01011066	1.009915511
0.2210526316	0.2936775979	0.4003924103	1.36337403	1.010250117	1.010052276
0.2240601504	0.2937181378	0.4004466252	1.363370435	1.010389574	1.010189042
0.2270676692	0.2937586778	0.4005008402	1.36336684	1.010529032	1.010325808
0.230075188	0.2937992178	0.4005550551	1.363363246	1.010668489	1.010462573
0.2330827068	0.2938397577	0.4006092701	1.363359653	1.010807946	1.010599339
0.2360902256	0.2938802977	0.400663485	1.363356061	1.010947404	1.010736105
0.2390977444	0.2939208377	0.4007177	1.36335247	1.011086861	1.01087287
0.2421052632	0.2939613776	0.4007719149	1.36334888	1.011226319	1.011009636
0.245112782	0.2940019176	0.4008261299	1.363345291	1.011365776	1.011146402
0.2481203008	0.2940424576	0.4008803448	1.363341703	1.011505233	1.011283167
0.2511278195	0.2940829975	0.4009345598	1.363338116	1.011644691	1.011419933
0.2541353383	0.2941235375	0.4009887747	1.36333453	1.011784148	1.011556699
0.2571428571	0.2941640775	0.4010429897	1.363330945	1.011923605	1.011693464
0.2601503759	0.2942046174	0.4010972046	1.363327361	1.012063063	1.01183023
0.2631578947	0.2942451574	0.4011514196	1.363323778	1.01220252	1.011966996
0.2661654135	0.2942856974	0.4012056345	1.363320196	1.012341978	1.012103761
0.2691729323	0.2943262373	0.4012598495	1.363316615	1.012481435	1.012240527
0.2721804511	0.2943667773	0.4013140644	1.363313035	1.012620892	1.012377293
0.2751879699	0.2944073173	0.4013682794	1.363309455	1.01276035	1.012514058
0.2781954887	0.2944478572	0.4014224943	1.363305877	1.012899807	1.012650824
0.2812030075	0.2944883972	0.4014767093	1.3633023	1.013039264	1.01278759
0.2842105263	0.2945289372	0.4015309242	1.363298724	1.013178722	1.012924355
0.2872180451	0.2945694771	0.4015851392	1.363295149	1.013318179	1.013061121
0.2902255639	0.2946100171	0.4016393541	1.363291575	1.013457636	1.013197887
0.2932330827	0.2946505571	0.4016935691	1.363288001	1.013597094	1.013334652
0.2962406015	0.294691097	0.401747784	1.363284429	1.013736551	1.013471418
0.2992481203	0.294731637	0.401801999	1.363280858	1.013876009	1.013608184
0.3022556391	0.294772177	0.4018562139	1.363277288	1.014015466	1.013744949
0.3052631579	0.2948127169	0.4019104289	1.363273719	1.014154923	1.013881715
0.3082706767	0.2948532569	0.4019646438	1.36327015	1.014294381	1.014018481
0.3112781955	0.2948937969	0.4020188588	1.363266583	1.014433838	1.014155246
0.3142857143	0.2949343368	0.4020730737	1.363263017	1.014573295	1.014292012
0.3172932331	0.2949748768	0.4021272887	1.363259451	1.014712753	1.014428778
0.3203007519	0.2950154168	0.4021815037	1.363255887	1.01485221	1.014565543
0.3233082707	0.2950559567	0.4022357186	1.363252324	1.014991668	1.014702309
0.3263157895	0.2950964967	0.4022899336	1.363248761	1.015131125	1.014839075
0.3293233083	0.2951370367	0.4023441485	1.3632452	1.015270582	1.01497584
0.3323308271	0.2951775766	0.4023983635	1.363241639	1.01541004	1.015112606
0.3353383459	0.2952181166	0.4024525784	1.36323808	1.015549497	1.015249372
0.3383458647	0.2952586566	0.4025067934	1.363234521	1.015688954	1.015386137
0.3413533835	0.2952991965	0.4025610083	1.363230964	1.015828412	1.015522903
0.3443609023	0.2953397365	0.4026152233	1.363227407	1.015967869	1.015659669
0.3473684211	0.2953802765	0.4026694382	1.363223852	1.016107327	1.015796434
0.3503759398	0.2954208164	0.4027236532	1.363220297	1.016246784	1.0159332
0.3533834586	0.2954613564	0.4027778681	1.363216743	1.016386241	1.016069966
0.3563909774	0.2955018964	0.4028320831	1.363213191	1.016525699	1.016206731
0.3593984962	0.2955424363	0.402886298	1.363209639	1.016665156	1.016343497
0.362406015	0.2955829763	0.402940513	1.363206088	1.016804613	1.016480263
