# VHH-NNLO SMEFT grid scan points
# process: ZHH
# energy_tev: 14.0
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-13.97435897	-0.7948717949	0.8201370191	1.062401303	1.29539489	2.684493334	2.546032714
-13.97435897	-0.7435897436	0.8528994996	1.101139824	1.291054602	2.791732318	2.638869142
-13.97435897	-0.6923076923	0.8856619801	1.139878345	1.287035428	2.898971302	2.73170557
-13.97435897	-0.641025641	0.9184244607	1.178616866	1.283303001	3.006210286	2.824541997
-13.97435897	-0.5897435897	0.9511869412	1.217355387	1.279827692	3.11344927	2.917378425
-13.97435897	-0.5384615385	0.9839494218	1.256093908	1.276583817	3.220688254	3.010214853
-13.97435897	-0.4871794872	1.016711902	1.29483243	1.273549003	3.327927237	3.103051281
-13.97435897	-0.4358974359	1.049474383	1.333570951	1.270703671	3.435166221	3.195887708
-13.97435897	-0.3846153846	1.082236863	1.372309472	1.268030611	3.542405205	3.288724136
-13.97435897	-0.3333333333	1.114999344	1.411047993	1.265514639	3.649644189	3.381560564
-13.97435897	-0.2820512821	1.147761824	1.449786514	1.263142302	3.756883173	3.474396992
-13.97435897	-0.2307692308	1.180524305	1.488525035	1.260901642	3.864122157	3.567233419
-13.97435897	-0.1794871795	1.213286786	1.527263556	1.258781991	3.971361141	3.660069847
-13.97435897	-0.1282051282	1.246049266	1.566002077	1.256773804	4.078600125	3.752906275
-13.97435897	-0.07692307692	1.278811747	1.604740598	1.254868515	4.185839109	3.845742703
-13.97435897	-0.02564102564	1.311574227	1.643479119	1.253058412	4.293078093	3.93857913
-13.97435897	0.02564102564	1.344336708	1.68221764	1.251336537	4.400317077	4.031415558
-13.97435897	0.07692307692	1.377099188	1.720956161	1.249696591	4.507556061	4.124251986
-13.97435897	0.1282051282	1.409861669	1.759694682	1.248132864	4.614795045	4.217088414
-13.97435897	0.1794871795	1.442624149	1.798433203	1.246640162	4.722034029	4.309924841
-13.97435897	0.2307692308	1.47538663	1.837171724	1.245213754	4.829273013	4.402761269
-13.97435897	0.2820512821	1.50814911	1.875910245	1.24384932	4.936511997	4.495597697
-13.97435897	0.3333333333	1.540911591	1.914648766	1.242542906	5.04375098	4.588434125
-13.97435897	0.3846153846	1.573674072	1.953387287	1.241290889	5.150989964	4.681270552
-13.97435897	0.4358974359	1.606436552	1.992125808	1.24008994	5.258228948	4.77410698
-13.97435897	0.4871794872	1.639199033	2.030864329	1.238936998	5.365467932	4.866943408
-13.97435897	0.5384615385	1.671961513	2.06960285	1.237829241	5.472706916	4.959779836
-13.97435897	0.5897435897	1.704723994	2.108341371	1.236764062	5.5799459	5.052616263
-13.97435897	0.641025641	1.737486474	2.147079892	1.235739054	5.687184884	5.145452691
-13.97435897	0.6923076923	1.770248955	2.185818413	1.234751986	5.794423868	5.238289119
-13.97435897	0.7435897436	1.803011435	2.224556934	1.233800791	5.901662852	5.331125547
-13.97435897	0.7948717949	1.835773916	2.263295455	1.232883546	6.008901836	5.423961974
-13.97435897	0.8461538462	1.868536396	2.302033976	1.231998467	6.11614082	5.516798402
-13.97435897	0.8974358974	1.901298877	2.340772497	1.231143891	6.223379804	5.60963483
-13.97435897	0.9487179487	1.934061357	2.379511018	1.230318267	6.330618788	5.702471258
-13.97435897	1	1.966823838	2.418249539	1.22952015	6.437857772	5.795307685
-13.46153846	-1	0.6515661276	0.8617381837	1.322564429	2.132722808	2.065145816
-13.46153846	-0.9487179487	0.6843286081	0.9004767047	1.315854246	2.239961792	2.157982244
-13.46153846	-0.8974358974	0.7170910887	0.9392152257	1.309757213	2.347200776	2.250818672
-13.46153846	-0.8461538462	0.7498535692	0.9779537468	1.304192961	2.45443976	2.343655099
-13.46153846	-0.7948717949	0.7826160498	1.016692268	1.299094579	2.561678744	2.436491527
-13.46153846	-0.7435897436	0.8153785303	1.055430789	1.29440591	2.668917728	2.529327955
-13.46153846	-0.6923076923	0.8481410108	1.09416931	1.290079475	2.776156711	2.622164383
-13.46153846	-0.641025641	0.8809034914	1.132907831	1.286074856	2.883395695	2.71500081
-13.46153846	-0.5897435897	0.9136659719	1.171646352	1.282357435	2.990634679	2.807837238
