# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 14.0
# scan_axis: phiW
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.1368421053	0.3929331469	0.5206478463	1.32502908	1.286158762	1.247726678
0.1398496241	0.3948545555	0.5229197295	1.324335055	1.292447966	1.253171221
0.1428571429	0.3967759641	0.5251916127	1.323647751	1.29873717	1.258615763
0.1458646617	0.3986973728	0.5274634959	1.322967072	1.305026373	1.264060305
0.1488721805	0.4006187814	0.5297353791	1.322292922	1.311315577	1.269504848
0.1518796992	0.40254019	0.5320072622	1.321625208	1.31760478	1.27494939
0.154887218	0.4044615987	0.5342791454	1.320963837	1.323893984	1.280393933
0.1578947368	0.4063830073	0.5365510286	1.320308721	1.330183187	1.285838475
0.1609022556	0.4083044159	0.5388229118	1.31965977	1.336472391	1.291283017
0.1639097744	0.4102258246	0.541094795	1.319016899	1.342761595	1.29672756
0.1669172932	0.4121472332	0.5433666782	1.318380022	1.349050798	1.302172102
0.169924812	0.4140686418	0.5456385614	1.317749055	1.355340002	1.307616644
0.1729323308	0.4159900505	0.5479104446	1.317123917	1.361629205	1.313061187
0.1759398496	0.4179114591	0.5501823277	1.316504527	1.367918409	1.318505729
0.1789473684	0.4198328677	0.5524542109	1.315890807	1.374207612	1.323950272
0.1819548872	0.4217542764	0.5547260941	1.315282678	1.380496816	1.329394814
0.184962406	0.423675685	0.5569979773	1.314680065	1.38678602	1.334839356
0.1879699248	0.4255970936	0.5592698605	1.314082894	1.393075223	1.340283899
0.1909774436	0.4275185023	0.5615417437	1.31349109	1.399364427	1.345728441
0.1939849624	0.4294399109	0.5638136269	1.312904582	1.40565363	1.351172983
0.1969924812	0.4313613195	0.5660855101	1.312323299	1.411942834	1.356617526
0.2	0.4332827282	0.5683573933	1.311747172	1.418232037	1.362062068
0.2030075188	0.4352041368	0.5706292764	1.311176131	1.424521241	1.367506611
0.2060150376	0.4371255454	0.5729011596	1.310610111	1.430810444	1.372951153
0.2090225564	0.4390469541	0.5751730428	1.310049045	1.437099648	1.378395695
0.2120300752	0.4409683627	0.577444926	1.309492868	1.443388852	1.383840238
0.215037594	0.4428897713	0.5797168092	1.308941517	1.449678055	1.38928478
0.2180451128	0.44481118	0.5819886924	1.308394929	1.455967259	1.394729323
0.2210526316	0.4467325886	0.5842605756	1.307853043	1.462256462	1.400173865
0.2240601504	0.4486539972	0.5865324588	1.307315799	1.468545666	1.405618407
0.2270676692	0.4505754059	0.5888043419	1.306783136	1.474834869	1.41106295
0.230075188	0.4524968145	0.5910762251	1.306254997	1.481124073	1.416507492
0.2330827068	0.4544182231	0.5933481083	1.305731324	1.487413277	1.421952034
0.2360902256	0.4563396318	0.5956199915	1.305212061	1.49370248	1.427396577
0.2390977444	0.4582610404	0.5978918747	1.304697153	1.499991684	1.432841119
0.2421052632	0.460182449	0.6001637579	1.304186544	1.506280887	1.438285662
