# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 14.0
# scan_axis: phiD
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiD	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.3503759398	0.3104923117	0.4239470092	1.365402598	1.016311326	1.015984215
0.3533834586	0.3105350865	0.4240042611	1.365398886	1.016451337	1.016121419
0.3563909774	0.3105778612	0.424061513	1.365395174	1.016591348	1.016258622
0.3593984962	0.310620636	0.4241187649	1.365391464	1.01673136	1.016395826
0.362406015	0.3106634107	0.4241760168	1.365387755	1.016871371	1.016533029
0.3654135338	0.3107061855	0.4242332687	1.365384046	1.017011383	1.016670233
0.3684210526	0.3107489602	0.4242905206	1.365380339	1.017151394	1.016807437
0.3714285714	0.3107917349	0.4243477726	1.365376633	1.017291405	1.01694464
0.3744360902	0.3108345097	0.4244050245	1.365372927	1.017431417	1.017081844
0.377443609	0.3108772844	0.4244622764	1.365369223	1.017571428	1.017219047
0.3804511278	0.3109200592	0.4245195283	1.36536552	1.017711439	1.017356251
0.3834586466	0.3109628339	0.4245767802	1.365361818	1.017851451	1.017493454
0.3864661654	0.3110056087	0.4246340321	1.365358117	1.017991462	1.017630658
0.3894736842	0.3110483834	0.424691284	1.365354416	1.018131474	1.017767861
0.392481203	0.3110911582	0.4247485359	1.365350717	1.018271485	1.017905065
0.3954887218	0.3111339329	0.4248057879	1.365347019	1.018411496	1.018042269
0.3984962406	0.3111767076	0.4248630398	1.365343322	1.018551508	1.018179472
0.4015037594	0.3112194824	0.4249202917	1.365339626	1.018691519	1.018316676
0.4045112782	0.3112622571	0.4249775436	1.365335931	1.018831531	1.018453879
0.407518797	0.3113050319	0.4250347955	1.365332237	1.018971542	1.018591083
0.4105263158	0.3113478066	0.4250920474	1.365328544	1.019111553	1.018728286
0.4135338346	0.3113905814	0.4251492993	1.365324852	1.019251565	1.01886549
0.4165413534	0.3114333561	0.4252065513	1.365321161	1.019391576	1.019002694
0.4195488722	0.3114761309	0.4252638032	1.365317471	1.019531587	1.019139897
0.422556391	0.3115189056	0.4253210551	1.365313782	1.019671599	1.019277101
0.4255639098	0.3115616803	0.425378307	1.365310094	1.01981161	1.019414304
0.4285714286	0.3116044551	0.4254355589	1.365306407	1.019951622	1.019551508
0.4315789474	0.3116472298	0.4254928108	1.365302721	1.020091633	1.019688711
0.4345864662	0.3116900046	0.4255500627	1.365299036	1.020231644	1.019825915
0.437593985	0.3117327793	0.4256073146	1.365295352	1.020371656	1.019963119
0.4406015038	0.3117755541	0.4256645666	1.365291669	1.020511667	1.020100322
0.4436090226	0.3118183288	0.4257218185	1.365287987	1.020651678	1.020237526
0.4466165414	0.3118611035	0.4257790704	1.365284306	1.02079169	1.020374729
0.4496240602	0.3119038783	0.4258363223	1.365280626	1.020931701	1.020511933
0.4526315789	0.311946653	0.4258935742	1.365276947	1.021071713	1.020649136
0.4556390977	0.3119894278	0.4259508261	1.36527327	1.021211724	1.02078634
0.4586466165	0.3120322025	0.426008078	1.365269593	1.021351735	1.020923543
0.4616541353	0.3120749773	0.42606533	1.365265917	1.021491747	1.021060747
0.4646616541	0.312117752	0.4261225819	1.365262242	1.021631758	1.021197951
0.4676691729	0.3121605268	0.4261798338	1.365258568	1.021771769	1.021335154
0.4706766917	0.3122033015	0.4262370857	1.365254895	1.021911781	1.021472358
0.4736842105	0.3122460762	0.4262943376	1.365251223	1.022051792	1.021609561
0.4766917293	0.312288851	0.4263515895	1.365247553	1.022191804	1.021746765
0.4796992481	0.3123316257	0.4264088414	1.365243883	1.022331815	1.021883968
0.4827067669	0.3123744005	0.4264660934	1.365240214	1.022471826	1.022021172
0.4857142857	0.3124171752	0.4265233453	1.365236546	1.022611838	1.022158376
0.4887218045	0.31245995	0.4265805972	1.365232879	1.022751849	1.022295579
0.4917293233	0.3125027247	0.4266378491	1.365229214	1.022891861	1.022432783
0.4947368421	0.3125454995	0.426695101	1.365225549	1.023031872	1.022569986
0.4977443609	0.3125882742	0.4267523529	1.365221885	1.023171883	1.02270719
0.5007518797	0.3126310489	0.4268096048	1.365218222	1.023311895	1.022844393
0.5037593985	0.3126738237	0.4268668567	1.36521456	1.023451906	1.022981597
0.5067669173	0.3127165984	0.4269241087	1.3652109	1.023591917	1.0231188
0.5097744361	0.3127593732	0.4269813606	1.36520724	1.023731929	1.023256004
0.5127819549	0.3128021479	0.4270386125	1.365203581	1.02387194	1.023393208
0.5157894737	0.3128449227	0.4270958644	1.365199923	1.024011952	1.023530411
0.5187969925	0.3128876974	0.4271531163	1.365196266	1.024151963	1.023667615
0.5218045113	0.3129304722	0.4272103682	1.365192611	1.024291974	1.023804818
0.5248120301	0.3129732469	0.4272676201	1.365188956	1.024431986	1.023942022
0.5278195489	0.3130160216	0.4273248721	1.365185302	1.024571997	1.024079225
0.5308270677	0.3130587964	0.427382124	1.365181649	1.024712008	1.024216429
0.5338345865	0.3131015711	0.4274393759	1.365177997	1.02485202	1.024353633
0.5368421053	0.3131443459	0.4274966278	1.365174347	1.024992031	1.024490836
0.5398496241	0.3131871206	0.4275538797	1.365170697	1.025132043	1.02462804
0.5428571429	0.3132298954	0.4276111316	1.365167048	1.025272054	1.024765243
0.5458646617	0.3132726701	0.4276683835	1.3651634	1.025412065	1.024902447
0.5488721805	0.3133154448	0.4277256354	1.365159753	1.025552077	1.02503965
0.5518796992	0.3133582196	0.4277828874	1.365156108	1.025692088	1.025176854
0.554887218	0.3134009943	0.4278401393	1.365152463	1.025832099	1.025314057
0.5578947368	0.3134437691	0.4278973912	1.365148819	1.025972111	1.025451261
0.5609022556	0.3134865438	0.4279546431	1.365145176	1.026112122	1.025588465
0.5639097744	0.3135293186	0.428011895	1.365141534	1.026252134	1.025725668
0.5669172932	0.3135720933	0.4280691469	1.365137894	1.026392145	1.025862872
0.569924812	0.3136148681	0.4281263988	1.365134254	1.026532156	1.026000075
