# VHH-NNLO SMEFT scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axis: phiW
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-0.09147869674	0.2115165011	0.2566909327	1.21357403	0.7128596514	0.7171095263
-0.08822055138	0.2145509857	0.2602974984	1.213219774	0.7230865679	0.7271850774
-0.08496240602	0.2175854702	0.263904064	1.212875399	0.7333134844	0.7372606285
-0.08170426065	0.2206199548	0.2675106297	1.212540498	0.7435404009	0.7473361796
-0.07844611529	0.2236544393	0.2711171954	1.212214684	0.7537673175	0.7574117307
-0.07518796992	0.2266889239	0.2747237611	1.211897593	0.763994234	0.7674872819
-0.07192982456	0.2297234084	0.2783303268	1.211588879	0.7742211505	0.777562833
-0.0686716792	0.232757893	0.2819368925	1.211288214	0.784448067	0.7876383841
-0.06541353383	0.2357923775	0.2855434582	1.210995288	0.7946749836	0.7977139352
-0.06215538847	0.2388268621	0.2891500239	1.210709806	0.8049019001	0.8077894863
-0.05889724311	0.2418613466	0.2927565896	1.210431487	0.8151288166	0.8178650375
-0.05563909774	0.2448958312	0.2963631553	1.210160066	0.8253557332	0.8279405886
-0.05238095238	0.2479303157	0.299969721	1.209895289	0.8355826497	0.8380161397
-0.04912280702	0.2509648003	0.3035762866	1.209636914	0.8458095662	0.8480916908
-0.04586466165	0.2539992848	0.3071828523	1.209384714	0.8560364827	0.8581672419
-0.04260651629	0.2570337694	0.310789418	1.209138467	0.8662633993	0.8682427931
-0.03934837093	0.260068254	0.3143959837	1.208897968	0.8764903158	0.8783183442
-0.03609022556	0.2631027385	0.3180025494	1.208663016	0.8867172323	0.8883938953
-0.0328320802	0.2661372231	0.3216091151	1.208433422	0.8969441488	0.8984694464
-0.02957393484	0.2691717076	0.3252156808	1.208209004	0.9071710654	0.9085449975
-0.02631578947	0.2722061922	0.3288222465	1.20798959	0.9173979819	0.9186205487
-0.02305764411	0.2752406767	0.3324288122	1.207775014	0.9276248984	0.9286960998
-0.01979949875	0.2782751613	0.3360353779	1.207565118	0.9378518149	0.9387716509
-0.01654135338	0.2813096458	0.3396419436	1.20735975	0.9480787315	0.948847202
-0.01328320802	0.2843441304	0.3432485092	1.207158765	0.958305648	0.9589227531
-0.01002506266	0.2873786149	0.3468550749	1.206962025	0.9685325645	0.9689983042
-0.006766917293	0.2904130995	0.3504616406	1.206769396	0.9787594811	0.9790738554
-0.00350877193	0.293447584	0.3540682063	1.206580751	0.9889863976	0.9891494065
-0.0002506265664	0.2964820686	0.357674772	1.206395968	0.9992133141	0.9992249576
0.003007518797	0.2995165531	0.3612813377	1.206214928	1.009440231	1.009300509
0.00626566416	0.3025510377	0.3648879034	1.206037521	1.019667147	1.01937606
0.009523809524	0.3055855223	0.3684944691	1.205863636	1.029894064	1.029451611
0.01278195489	0.3086200068	0.3721010348	1.205693171	1.04012098	1.039527162
0.01604010025	0.3116544914	0.3757076005	1.205526026	1.050347897	1.049602713
0.01929824561	0.3146889759	0.3793141661	1.205362104	1.060574813	1.059678264
0.02255639098	0.3177234605	0.3829207318	1.205201313	1.07080173	1.069753815
0.02581453634	0.320757945	0.3865272975	1.205043565	1.081028646	1.079829367
0.0290726817	0.3237924296	0.3901338632	1.204888773	1.091255563	1.089904918
0.03233082707	0.3268269141	0.3937404289	1.204736856	1.101482479	1.099980469
0.03558897243	0.3298613987	0.3973469946	1.204587733	1.111709396	1.11005602
0.03884711779	0.3328958832	0.4009535603	1.20444133	1.121936312	1.120131571
0.04210526316	0.3359303678	0.404560126	1.204297571	1.132163229	1.130207122
0.04536340852	0.3389648523	0.4081666917	1.204156386	1.142390145	1.140282673
0.04862155388	0.3419993369	0.4117732574	1.204017707	1.152617062	1.150358224
0.05187969925	0.3450338215	0.4153798231	1.203881467	1.162843979	1.160433776
0.05513784461	0.348068306	0.4189863887	1.203747602	1.173070895	1.170509327
0.05839598997	0.3511027906	0.4225929544	1.203616051	1.183297812	1.180584878
0.06165413534	0.3541372751	0.4261995201	1.203486755	1.193524728	1.190660429
0.0649122807	0.3571717597	0.4298060858	1.203359656	1.203751645	1.20073598
0.06817042607	0.3602062442	0.4334126515	1.203234698	1.213978561	1.210811531
0.07142857143	0.3632407288	0.4370192172	1.203111828	1.224205478	1.220887082
0.07468671679	0.3662752133	0.4406257829	1.202990994	1.234432394	1.230962633
0.07794486216	0.3693096979	0.4442323486	1.202872145	1.244659311	1.241038184
0.08120300752	0.3723441824	0.4478389143	1.202755234	1.254886227	1.251113736
0.08446115288	0.375378667	0.45144548	1.202640213	1.265113144	1.261189287
0.08771929825	0.3784131515	0.4550520457	1.202527036	1.27534006	1.271264838
0.09097744361	0.3814476361	0.4586586113	1.202415661	1.285566977	1.281340389
