# VHH-NNLO SMEFT scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axis: phi
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-4.127819549	0.6045800377	0.7282565646	1.204566011	2.037574906	2.03450786
-4.082706767	0.6012153978	0.7242095224	1.204575806	2.02623529	2.023201763
-4.037593985	0.597850758	0.7201624802	1.204585711	2.014895673	2.011895666
-3.992481203	0.5944861181	0.7161154379	1.204595727	2.003556057	2.000589569
-3.947368421	0.5911214783	0.7120683957	1.204605858	1.99221644	1.989283473
-3.902255639	0.5877568384	0.7080213535	1.204616105	1.980876824	1.977977376
-3.857142857	0.5843921985	0.7039743112	1.20462647	1.969537207	1.966671279
-3.812030075	0.5810275587	0.699927269	1.204636955	1.958197591	1.955365182
-3.766917293	0.5776629188	0.6958802268	1.204647562	1.946857975	1.944059085
-3.721804511	0.574298279	0.6918331845	1.204658293	1.935518358	1.932752988
-3.676691729	0.5709336391	0.6877861423	1.204669151	1.924178742	1.921446892
-3.631578947	0.5675689992	0.6837391001	1.204680138	1.912839125	1.910140795
-3.586466165	0.5642043594	0.6796920578	1.204691255	1.901499509	1.898834698
-3.541353383	0.5608397195	0.6756450156	1.204702506	1.890159892	1.887528601
-3.496240602	0.5574750797	0.6715979734	1.204713893	1.878820276	1.876222504
-3.45112782	0.5541104398	0.6675509311	1.204725418	1.867480659	1.864916407
-3.406015038	0.5507457999	0.6635038889	1.204737084	1.856141043	1.853610311
-3.360902256	0.5473811601	0.6594568466	1.204748893	1.844801426	1.842304214
-3.315789474	0.5440165202	0.6554098044	1.204760848	1.83346181	1.830998117
-3.270676692	0.5406518804	0.6513627622	1.204772953	1.822122193	1.81969202
-3.22556391	0.5372872405	0.6473157199	1.204785208	1.810782577	1.808385923
-3.180451128	0.5339226006	0.6432686777	1.204797618	1.799442961	1.797079826
-3.135338346	0.5305579608	0.6392216355	1.204810186	1.788103344	1.78577373
-3.090225564	0.5271933209	0.6351745932	1.204822914	1.776763728	1.774467633
-3.045112782	0.5238286811	0.631127551	1.204835806	1.765424111	1.763161536
-3	0.5204640412	0.6270805088	1.204848864	1.754084495	1.751855439
-2.954887218	0.5170994013	0.6230334665	1.204862092	1.742744878	1.740549342
-2.909774436	0.5137347615	0.6189864243	1.204875494	1.731405262	1.729243246
-2.864661654	0.5103701216	0.6149393821	1.204889072	1.720065645	1.717937149
-2.819548872	0.5070054818	0.6108923398	1.20490283	1.708726029	1.706631052
-2.77443609	0.5036408419	0.6068452976	1.204916772	1.697386412	1.695324955
-2.729323308	0.500276202	0.6027982554	1.204930902	1.686046796	1.684018858
-2.684210526	0.4969115622	0.5987512131	1.204945223	1.674707179	1.672712761
-2.639097744	0.4935469223	0.5947041709	1.204959739	1.663367563	1.661406665
-2.593984962	0.4901822825	0.5906571287	1.204974455	1.652027947	1.650100568
-2.54887218	0.4868176426	0.5866100864	1.204989374	1.64068833	1.638794471
-2.503759398	0.4834530027	0.5825630442	1.205004501	1.629348714	1.627488374
-2.458646617	0.4800883629	0.5785160019	1.205019839	1.618009097	1.616182277
-2.413533835	0.476723723	0.5744689597	1.205035395	1.606669481	1.60487618
-2.368421053	0.4733590832	0.5704219175	1.205051171	1.595329864	1.593570084
-2.323308271	0.4699944433	0.5663748752	1.205067173	1.583990248	1.582263987
-2.278195489	0.4666298034	0.562327833	1.205083406	1.572650631	1.57095789
-2.233082707	0.4632651636	0.5582807908	1.205099875	1.561311015	1.559651793
-2.187969925	0.4599005237	0.5542337485	1.205116585	1.549971398	1.548345696
-2.142857143	0.4565358838	0.5501867063	1.205133541	1.538631782	1.537039599
-2.097744361	0.453171244	0.5461396641	1.205150749	1.527292165	1.525733503
-2.052631579	0.4498066041	0.5420926218	1.205168214	1.515952549	1.514427406
-2.007518797	0.4464419643	0.5380455796	1.205185943	1.504612933	1.503121309
-1.962406015	0.4430773244	0.5339985374	1.205203941	1.493273316	1.491815212
-1.917293233	0.4397126845	0.5299514951	1.205222214	1.4819337	1.480509115
-1.872180451	0.4363480447	0.5259044529	1.205240769	1.470594083	1.469203018
-1.827067669	0.4329834048	0.5218574107	1.205259612	1.459254467	1.457896922
-1.781954887	0.429618765	0.5178103684	1.205278751	1.44791485	1.446590825
-1.736842105	0.4262541251	0.5137633262	1.205298192	1.436575234	1.435284728
