# VHH-NNLO SMEFT scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axis: phiq3st
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phiq3st	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.02503759398	0.9159298797	1.118257867	1.220898992	3.086896064	3.124042447
0.02518796992	0.9196488851	1.122824267	1.220927123	3.099429974	3.136799458
0.02533834586	0.9233678904	1.127390668	1.220955027	3.111963885	3.14955647
0.0254887218	0.9270868958	1.131957068	1.220982708	3.124497795	3.162313482
0.02563909774	0.9308059011	1.136523469	1.221010167	3.137031705	3.175070493
0.02578947368	0.9345249064	1.141089869	1.221037408	3.149565616	3.187827505
0.02593984962	0.9382439118	1.145656269	1.221064432	3.162099526	3.200584517
0.02609022556	0.9419629171	1.15022267	1.221091244	3.174633436	3.213341528
0.0262406015	0.9456819225	1.15478907	1.221117844	3.187167347	3.22609854
0.02639097744	0.9494009278	1.159355471	1.221144236	3.199701257	3.238855552
0.02654135338	0.9531199332	1.163921871	1.221170422	3.212235167	3.251612563
0.02669172932	0.9568389385	1.168488271	1.221196405	3.224769077	3.264369575
0.02684210526	0.9605579438	1.173054672	1.221222186	3.237302988	3.277126587
0.0269924812	0.9642769492	1.177621072	1.221247768	3.249836898	3.289883599
0.02714285714	0.9679959545	1.182187473	1.221273154	3.262370808	3.30264061
0.02729323308	0.9717149599	1.186753873	1.221298346	3.274904719	3.315397622
0.02744360902	0.9754339652	1.191320273	1.221323345	3.287438629	3.328154634
0.02759398496	0.9791529705	1.195886674	1.221348155	3.299972539	3.340911645
0.0277443609	0.9828719759	1.200453074	1.221372777	3.312506449	3.353668657
0.02789473684	0.9865909812	1.205019475	1.221397213	3.32504036	3.366425669
0.02804511278	0.9903099866	1.209585875	1.221421466	3.33757427	3.37918268
0.02819548872	0.9940289919	1.214152276	1.221445537	3.35010818	3.391939692
0.02834586466	0.9977479972	1.218718676	1.221469428	3.362642091	3.404696704
0.0284962406	1.001467003	1.223285076	1.221493143	3.375176001	3.417453715
0.02864661654	1.005186008	1.227851477	1.221516682	3.387709911	3.430210727
0.02879699248	1.008905013	1.232417877	1.221540047	3.400243822	3.442967739
