# VHH-NNLO SMEFT grid scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-14.48717949	0.6923076923	2.021993707	2.423930762	1.198782545	6.814587617	6.771660465
-14.48717949	0.7435897436	2.069755417	2.480696825	1.198545879	6.975555653	6.930246062
-14.48717949	0.7948717949	2.117517126	2.537462889	1.19831989	7.136523688	7.08883166
-14.48717949	0.8461538462	2.165278836	2.594228953	1.19810387	7.297491723	7.247417257
-14.48717949	0.8974358974	2.213040545	2.650995016	1.197897174	7.458459758	7.406002855
-14.48717949	0.9487179487	2.260802255	2.70776108	1.197699212	7.619427794	7.564588452
-14.48717949	1	2.308563965	2.764527143	1.197509441	7.780395829	7.72317405
-13.97435897	-1	0.407609677	0.5046458262	1.238061446	1.373739121	1.40981345
-13.97435897	-0.9487179487	0.4553713865	0.5614118898	1.232865978	1.534707156	1.568399048
-13.97435897	-0.8974358974	0.5031330961	0.6181779533	1.228656906	1.695675191	1.726984645
-13.97435897	-0.8461538462	0.5508948056	0.6749440168	1.225177675	1.856643227	1.885570243
-13.97435897	-0.7948717949	0.5986565151	0.7317100804	1.222253599	2.017611262	2.04415584
-13.97435897	-0.7435897436	0.6464182247	0.7884761439	1.219761625	2.178579297	2.202741438
-13.97435897	-0.6923076923	0.6941799342	0.8452422074	1.217612561	2.339547332	2.361327035
-13.97435897	-0.641025641	0.7419416438	0.902008271	1.215740185	2.500515368	2.519912633
-13.97435897	-0.5897435897	0.7897033533	0.9587743345	1.214094293	2.661483403	2.67849823
-13.97435897	-0.5384615385	0.8374650629	1.015540398	1.212636136	2.822451438	2.837083828
-13.97435897	-0.4871794872	0.8852267724	1.072306462	1.211335327	2.983419473	2.995669425
-13.97435897	-0.4358974359	0.9329884819	1.129072525	1.2101677	3.144387509	3.154255023
-13.97435897	-0.3846153846	0.9807501915	1.185838589	1.209113798	3.305355544	3.31284062
-13.97435897	-0.3333333333	1.028511901	1.242604652	1.208157777	3.466323579	3.471426218
-13.97435897	-0.2820512821	1.076273611	1.299370716	1.207286607	3.627291615	3.630011815
-13.97435897	-0.2307692308	1.12403532	1.356136779	1.206489471	3.78825965	3.788597413
-13.97435897	-0.1794871795	1.17179703	1.412902843	1.205757317	3.949227685	3.94718301
-13.97435897	-0.1282051282	1.219558739	1.469668906	1.20508251	4.11019572	4.105768608
-13.97435897	-0.07692307692	1.267320449	1.52643497	1.204458566	4.271163756	4.264354205
-13.97435897	-0.02564102564	1.315082158	1.583201033	1.203879943	4.432131791	4.422939803
-13.97435897	0.02564102564	1.362843868	1.639967097	1.203341876	4.593099826	4.5815254
-13.97435897	0.07692307692	1.410605577	1.69673316	1.202840247	4.754067862	4.740110998
-13.97435897	0.1282051282	1.458367287	1.753499224	1.202371474	4.915035897	4.898696595
-13.97435897	0.1794871795	1.506128996	1.810265288	1.201932432	5.076003932	5.057282193
-13.97435897	0.2307692308	1.553890706	1.867031351	1.20152038	5.236971967	5.21586779
-13.97435897	0.2820512821	1.601652415	1.923797415	1.201132902	5.397940003	5.374453387
-13.97435897	0.3333333333	1.649414125	1.980563478	1.200767865	5.558908038	5.533038985
-13.97435897	0.3846153846	1.697175835	2.037329542	1.200423374	5.719876073	5.691624582
-13.97435897	0.4358974359	1.744937544	2.094095605	1.200097741	5.880844109	5.85021018
-13.97435897	0.4871794872	1.792699254	2.150861669	1.19978946	6.041812144	6.008795777
-13.97435897	0.5384615385	1.840460963	2.207627732	1.199497178	6.202780179	6.167381375
-13.97435897	0.5897435897	1.888222673	2.264393796	1.199219683	6.363748214	6.325966972
-13.97435897	0.641025641	1.935984382	2.321159859	1.19895588	6.52471625	6.48455257
-13.97435897	0.6923076923	1.983746092	2.377925923	1.19870478	6.685684285	6.643138167
-13.97435897	0.7435897436	2.031507801	2.434691986	1.198465487	6.84665232	6.801723765
-13.97435897	0.7948717949	2.079269511	2.49145805	1.198237187	7.007620355	6.960309362
-13.97435897	0.8461538462	2.12703122	2.548224113	1.19801914	7.168588391	7.11889496
