# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 14.0
# scan_axis: phi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-4.674185464	0.6474999942	0.8338995546	1.287875772	2.119413437	1.998430856
-4.62406015	0.643832531	0.8294317541	1.288272515	2.107409003	1.987723823
-4.573934837	0.6401650678	0.8249639537	1.288673805	2.095404569	1.97701679
-4.523809524	0.6364976047	0.8204961532	1.289079719	2.083400136	1.966309756
-4.473684211	0.6328301415	0.8160283527	1.289490337	2.071395702	1.955602723
-4.423558897	0.6291626783	0.8115605523	1.289905743	2.059391268	1.94489569
-4.373433584	0.6254952152	0.8070927518	1.29032602	2.047386835	1.934188656
-4.323308271	0.621827752	0.8026249513	1.290751255	2.035382401	1.923481623
-4.273182957	0.6181602888	0.7981571509	1.291181535	2.023377967	1.91277459
-4.223057644	0.6144928257	0.7936893504	1.291616952	2.011373534	1.902067556
-4.172932331	0.6108253625	0.7892215499	1.292057597	1.9993691	1.891360523
-4.122807018	0.6071578993	0.7847537495	1.292503565	1.987364667	1.88065349
-4.072681704	0.6034904362	0.780285949	1.292954954	1.975360233	1.869946456
-4.022556391	0.599822973	0.7758181485	1.293411862	1.963355799	1.859239423
-3.972431078	0.5961555098	0.7713503481	1.293874392	1.951351366	1.84853239
-3.922305764	0.5924880467	0.7668825476	1.294342649	1.939346932	1.837825357
-3.872180451	0.5888205835	0.7624147471	1.294816738	1.927342498	1.827118323
-3.822055138	0.5851531204	0.7579469467	1.29529677	1.915338065	1.81641129
-3.771929825	0.5814856572	0.7534791462	1.295782857	1.903333631	1.805704257
-3.721804511	0.577818194	0.7490113458	1.296275115	1.891329197	1.794997223
-3.671679198	0.5741507309	0.7445435453	1.296773661	1.879324764	1.78429019
-3.621553885	0.5704832677	0.7400757448	1.297278617	1.86732033	1.773583157
-3.571428571	0.5668158045	0.7356079444	1.297790108	1.855315897	1.762876123
-3.521303258	0.5631483414	0.7311401439	1.298308261	1.843311463	1.75216909
-3.471177945	0.5594808782	0.7266723434	1.298833207	1.831307029	1.741462057
-3.421052632	0.555813415	0.722204543	1.299365081	1.819302596	1.730755023
-3.370927318	0.5521459519	0.7177367425	1.29990402	1.807298162	1.72004799
-3.320802005	0.5484784887	0.713268942	1.300450167	1.795293728	1.709340957
-3.270676692	0.5448110255	0.7088011416	1.301003666	1.783289295	1.698633924
-3.220551378	0.5411435624	0.7043333411	1.301564668	1.771284861	1.68792689
-3.170426065	0.5374760992	0.6998655406	1.302133326	1.759280427	1.677219857
-3.120300752	0.5338086361	0.6953977402	1.302709797	1.747275994	1.666512824
-3.070175439	0.5301411729	0.6909299397	1.303294245	1.73527156	1.65580579
-3.020050125	0.5264737097	0.6864621392	1.303886835	1.723267127	1.645098757
-2.969924812	0.5228062466	0.6819943388	1.30448774	1.711262693	1.634391724
-2.919799499	0.5191387834	0.6775265383	1.305097134	1.699258259	1.62368469
-2.869674185	0.5154713202	0.6730587378	1.3057152	1.687253826	1.612977657
-2.819548872	0.5118038571	0.6685909374	1.306342123	1.675249392	1.602270624
-2.769423559	0.5081363939	0.6641231369	1.306978097	1.663244958	1.59156359
-2.719298246	0.5044689307	0.6596553365	1.307623317	1.651240525	1.580856557
-2.669172932	0.5008014676	0.655187536	1.308277987	1.639236091	1.570149524
