# VHH-NNLO SMEFT grid scan points
# process: ZHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-14.48717949	-0.2307692308	1.202028809	1.510907587	1.256964539	4.134975746	3.811499941
-14.48717949	-0.1794871795	1.223965985	1.536874234	1.255651099	4.210439571	3.877004855
-14.48717949	-0.1282051282	1.245903161	1.56284088	1.254383911	4.285903396	3.942509768
-14.48717949	-0.07692307692	1.267840337	1.588807526	1.253160575	4.36136722	4.008014682
-14.48717949	-0.02564102564	1.289777513	1.614774173	1.251978854	4.436831045	4.073519595
-14.48717949	0.02564102564	1.311714689	1.640740819	1.250836659	4.51229487	4.139024509
-14.48717949	0.07692307692	1.333651865	1.666707465	1.249732039	4.587758694	4.204529422
-14.48717949	0.1282051282	1.355589042	1.692674112	1.248663171	4.663222519	4.270034336
-14.48717949	0.1794871795	1.377526218	1.718640758	1.247628347	4.738686344	4.335539249
-14.48717949	0.2307692308	1.399463394	1.744607404	1.246625965	4.814150169	4.401044163
-14.48717949	0.2820512821	1.42140057	1.77057405	1.245654524	4.889613993	4.466549076
-14.48717949	0.3333333333	1.443337746	1.796540697	1.244712613	4.965077818	4.53205399
-14.48717949	0.3846153846	1.465274922	1.822507343	1.243798904	5.040541643	4.597558904
-14.48717949	0.4358974359	1.487212098	1.848473989	1.242912152	5.116005467	4.663063817
-14.48717949	0.4871794872	1.509149275	1.874440636	1.242051179	5.191469292	4.728568731
-14.48717949	0.5384615385	1.531086451	1.900407282	1.241214878	5.266933117	4.794073644
-14.48717949	0.5897435897	1.553023627	1.926373928	1.240402203	5.342396942	4.859578558
-14.48717949	0.641025641	1.574960803	1.952340575	1.239612167	5.417860766	4.925083471
-14.48717949	0.6923076923	1.596897979	1.978307221	1.238843838	5.493324591	4.990588385
-14.48717949	0.7435897436	1.618835155	2.004273867	1.238096332	5.568788416	5.056093298
-14.48717949	0.7948717949	1.640772331	2.030240514	1.237368814	5.64425224	5.121598212
-14.48717949	0.8461538462	1.662709508	2.05620716	1.236660493	5.719716065	5.187103125
-14.48717949	0.8974358974	1.684646684	2.082173806	1.23597062	5.79517989	5.252608039
-14.48717949	0.9487179487	1.70658386	2.108140452	1.235298483	5.870643714	5.318112952
-14.48717949	1	1.728521036	2.134107099	1.234643406	5.946107539	5.383617866
-13.97435897	-1	0.8372172481	1.077820286	1.287384235	2.880024997	2.718969705
-13.97435897	-0.9487179487	0.8591544243	1.103786932	1.284736366	2.955488821	2.784474619
-13.97435897	-0.8974358974	0.8810916004	1.129753579	1.282220348	3.030952646	2.849979532
-13.97435897	-0.8461538462	0.9030287766	1.155720225	1.279826574	3.106416471	2.915484446
-13.97435897	-0.7948717949	0.9249659527	1.181686871	1.277546344	3.181880295	2.980989359
-13.97435897	-0.7435897436	0.9469031288	1.207653518	1.275371768	3.25734412	3.046494273
-13.97435897	-0.6923076923	0.968840305	1.233620164	1.273295669	3.332807945	3.111999186
-13.97435897	-0.641025641	0.9907774811	1.25958681	1.271311505	3.40827177	3.1775041
-13.97435897	-0.5897435897	1.012714657	1.285553457	1.269413302	3.483735594	3.243009013
-13.97435897	-0.5384615385	1.034651833	1.311520103	1.267595592	3.559199419	3.308513927
-13.97435897	-0.4871794872	1.05658901	1.337486749	1.265853361	3.634663244	3.374018841
-13.97435897	-0.4358974359	1.078526186	1.363453396	1.264182005	3.710127068	3.439523754
-13.97435897	-0.3846153846	1.100463362	1.389420042	1.262577283	3.785590893	3.505028668
-13.97435897	-0.3333333333	1.122400538	1.415386688	1.26103529	3.861054718	3.570533581
-13.97435897	-0.2820512821	1.144337714	1.441353335	1.259552418	3.936518542	3.636038495
-13.97435897	-0.2307692308	1.16627489	1.467319981	1.25812533	4.011982367	3.701543408
-13.97435897	-0.1794871795	1.188212066	1.493286627	1.256750936	4.087446192	3.767048322
-13.97435897	-0.1282051282	1.210149243	1.519253273	1.255426372	4.162910017	3.832553235
-13.97435897	-0.07692307692	1.232086419	1.54521992	1.254148975	4.238373841	3.898058149
-13.97435897	-0.02564102564	1.254023595	1.571186566	1.252916271	4.313837666	3.963563062
-13.97435897	0.02564102564	1.275960771	1.597153212	1.251725953	4.389301491	4.029067976
-13.97435897	0.07692307692	1.297897947	1.623119859	1.250575873	4.464765315	4.094572889
-13.97435897	0.1282051282	1.319835123	1.649086505	1.249464025	4.54022914	4.160077803
-13.97435897	0.1794871795	1.341772299	1.675053151	1.248388532	4.615692965	4.225582717
-13.97435897	0.2307692308	1.363709476	1.701019798	1.247347641	4.69115679	4.29108763
-13.97435897	0.2820512821	1.385646652	1.726986444	1.246339708	4.766620614	4.356592544
-13.97435897	0.3333333333	1.407583828	1.75295309	1.245363193	4.842084439	4.422097457
-13.97435897	0.3846153846	1.429521004	1.778919737	1.244416648	4.917548264	4.487602371
-13.97435897	0.4358974359	1.45145818	1.804886383	1.243498716	4.993012088	4.553107284
-13.97435897	0.4871794872	1.473395356	1.830853029	1.242608117	5.068475913	4.618612198
-13.97435897	0.5384615385	1.495332532	1.856819675	1.241743649	5.143939738	4.684117111
-13.97435897	0.5897435897	1.517269709	1.882786322	1.240904179	5.219403562	4.749622025
-13.97435897	0.641025641	1.539206885	1.908752968	1.240088637	5.294867387	4.815126938
-13.97435897	0.6923076923	1.561144061	1.934719614	1.239296016	5.370331212	4.880631852
-13.97435897	0.7435897436	1.583081237	1.960686261	1.238525361	5.445795037	4.946136766
-13.97435897	0.7948717949	1.605018413	1.986652907	1.237775773	5.521258861	5.011641679
-13.97435897	0.8461538462	1.626955589	2.012619553	1.237046399	5.596722686	5.077146593
-13.97435897	0.8974358974	1.648892766	2.0385862	1.236336433	5.672186511	5.142651506
-13.97435897	0.9487179487	1.670829942	2.064552846	1.235645109	5.747650335	5.20815642
-13.97435897	1	1.692767118	2.090519492	1.234971704	5.82311416	5.273661333
-13.46153846	-1	0.8014633299	1.03423268	1.290430443	2.757031618	2.609013172
-13.46153846	-0.9487179487	0.823400506	1.060199326	1.28758644	2.832495442	2.674518086
-13.46153846	-0.8974358974	0.8453376821	1.086165972	1.284890045	2.907959267	2.740022999
-13.46153846	-0.8461538462	0.8672748583	1.112132619	1.282330057	2.983423092	2.805527913
-13.46153846	-0.7948717949	0.8892120344	1.138099265	1.279896381	3.058886916	2.871032826
-13.46153846	-0.7435897436	0.9111492106	1.164065911	1.277579893	3.134350741	2.93653774
-13.46153846	-0.6923076923	0.9330863867	1.190032558	1.275372328	3.209814566	3.002042654
-13.46153846	-0.641025641	0.9550235629	1.215999204	1.27326618	3.28527839	3.067547567
-13.46153846	-0.5897435897	0.976960739	1.24196585	1.271254617	3.360742215	3.133052481
-13.46153846	-0.5384615385	0.9988979152	1.267932496	1.269331407	3.43620604	3.198557394
-13.46153846	-0.4871794872	1.020835091	1.293899143	1.267490855	3.511669865	3.264062308
-13.46153846	-0.4358974359	1.042772267	1.319865789	1.265727743	3.587133689	3.329567221
-13.46153846	-0.3846153846	1.064709444	1.345832435	1.264037286	3.662597514	3.395072135
-13.46153846	-0.3333333333	1.08664662	1.371799082	1.262415082	3.738061339	3.460577048
-13.46153846	-0.2820512821	1.108583796	1.397765728	1.26085708	3.813525163	3.526081962
-13.46153846	-0.2307692308	1.130520972	1.423732374	1.259359543	3.888988988	3.591586875
-13.46153846	-0.1794871795	1.152458148	1.449699021	1.257919017	3.964452813	3.657091789
-13.46153846	-0.1282051282	1.174395324	1.475665667	1.256532308	4.039916638	3.722596702
-13.46153846	-0.07692307692	1.1963325	1.501632313	1.255196455	4.115380462	3.788101616
-13.46153846	-0.02564102564	1.218269677	1.52759896	1.253908711	4.190844287	3.85360653
-13.46153846	0.02564102564	1.240206853	1.553565606	1.252666523	4.266308112	3.919111443
-13.46153846	0.07692307692	1.262144029	1.579532252	1.251467516	4.341771936	3.984616357
