# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phiW
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.1789473684	0.3672471092	0.4870175403	1.326130358	1.26332903	1.228577672
0.1824561404	0.3687480739	0.4887942056	1.325550532	1.268492345	1.233059587
0.1859649123	0.3702490385	0.4905708709	1.324975408	1.273655659	1.237541502
0.1894736842	0.3717500032	0.4923475362	1.324404928	1.278818973	1.242023417
0.1929824561	0.3732509679	0.4941242014	1.323839036	1.283982288	1.246505333
0.1964912281	0.3747519326	0.4959008667	1.323277677	1.289145602	1.250987248
0.2	0.3762528973	0.497677532	1.322720797	1.294308916	1.255469163
0.2035087719	0.377753862	0.4994541973	1.322168342	1.299472231	1.259951078
0.2070175439	0.3792548266	0.5012308625	1.32162026	1.304635545	1.264432993
0.2105263158	0.3807557913	0.5030075278	1.321076499	1.309798859	1.268914908
0.2140350877	0.382256756	0.5047841931	1.320537009	1.314962174	1.273396823
0.2175438596	0.3837577207	0.5065608583	1.320001738	1.320125488	1.277878738
0.2210526316	0.3852586854	0.5083375236	1.319470639	1.325288802	1.282360654
0.2245614035	0.3867596501	0.5101141889	1.318943661	1.330452117	1.286842569
0.2280701754	0.3882606147	0.5118908542	1.318420758	1.335615431	1.291324484
0.2315789474	0.3897615794	0.5136675194	1.317901883	1.340778745	1.295806399
0.2350877193	0.3912625441	0.5154441847	1.317386989	1.34594206	1.300288314
0.2385964912	0.3927635088	0.51722085	1.316876029	1.351105374	1.304770229
0.2421052632	0.3942644735	0.5189975153	1.316368961	1.356268688	1.309252144
0.2456140351	0.3957654382	0.5207741805	1.315865738	1.361432003	1.31373406
0.249122807	0.3972664028	0.5225508458	1.315366319	1.366595317	1.318215975
0.2526315789	0.3987673675	0.5243275111	1.314870658	1.371758631	1.32269789
0.2561403509	0.4002683322	0.5261041764	1.314378716	1.376921946	1.327179805
0.2596491228	0.4017692969	0.5278808416	1.313890448	1.38208526	1.33166172
0.2631578947	0.4032702616	0.5296575069	1.313405816	1.387248574	1.336143635
0.2666666667	0.4047712263	0.5314341722	1.312924778	1.392411888	1.34062555
0.2701754386	0.4062721909	0.5332108375	1.312447294	1.397575203	1.345107466
0.2736842105	0.4077731556	0.5349875027	1.311973325	1.402738517	1.349589381
0.2771929825	0.4092741203	0.536764168	1.311502832	1.407901831	1.354071296
0.2807017544	0.410775085	0.5385408333	1.311035778	1.413065146	1.358553211
0.2842105263	0.4122760497	0.5403174985	1.310572125	1.41822846	1.363035126
0.2877192982	0.4137770144	0.5420941638	1.310111836	1.423391774	1.367517041
0.2912280702	0.415277979	0.5438708291	1.309654873	1.428555089	1.371998956
0.2947368421	0.4167789437	0.5456474944	1.309201203	1.433718403	1.376480872
