# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phiBox
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiBox	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.226566416	0.3402630718	0.4595377238	1.350536576	1.170504017	1.159255551
0.2342105263	0.3419353477	0.4616676667	1.350160695	1.176256642	1.164628664
0.2418546366	0.3436076236	0.4637976097	1.349788473	1.182009266	1.170001777
0.2494987469	0.3452798995	0.4659275526	1.349419857	1.187761891	1.17537489
0.2571428571	0.3469521754	0.4680574956	1.349054794	1.193514515	1.180748003
0.2647869674	0.3486244513	0.4701874385	1.348693233	1.199267139	1.186121116
0.2724310777	0.3502967272	0.4723173815	1.348335125	1.205019764	1.19149423
0.280075188	0.3519690032	0.4744473244	1.347980419	1.210772388	1.196867343
0.2877192982	0.3536412791	0.4765772674	1.347629068	1.216525013	1.202240456
0.2953634085	0.355313555	0.4787072103	1.347281024	1.222277637	1.207613569
0.3030075188	0.3569858309	0.4808371533	1.346936241	1.228030262	1.212986682
0.3106516291	0.3586581068	0.4829670962	1.346594674	1.233782886	1.218359795
0.3182957393	0.3603303827	0.4850970392	1.346256276	1.239535511	1.223732908
0.3259398496	0.3620026586	0.4872269821	1.345921005	1.245288135	1.229106022
0.3335839599	0.3636749345	0.4893569251	1.345588817	1.25104076	1.234479135
0.3412280702	0.3653472105	0.4914868681	1.345259671	1.256793384	1.239852248
0.3488721805	0.3670194864	0.493616811	1.344933524	1.262546009	1.245225361
0.3565162907	0.3686917623	0.495746754	1.344610335	1.268298633	1.250598474
0.364160401	0.3703640382	0.4978766969	1.344290065	1.274051258	1.255971587
0.3718045113	0.3720363141	0.5000066399	1.343972674	1.279803882	1.261344701
0.3794486216	0.37370859	0.5021365828	1.343658124	1.285556507	1.266717814
0.3870927318	0.3753808659	0.5042665258	1.343346376	1.291309131	1.272090927
0.3947368421	0.3770531418	0.5063964687	1.343037393	1.297061755	1.27746404
0.4023809524	0.3787254178	0.5085264117	1.342731139	1.30281438	1.282837153
0.4100250627	0.3803976937	0.5106563546	1.342427578	1.308567004	1.288210266
0.4176691729	0.3820699696	0.5127862976	1.342126674	1.314319629	1.293583379
0.4253132832	0.3837422455	0.5149162405	1.341828393	1.320072253	1.298956493
0.4329573935	0.3854145214	0.5170461835	1.3415327	1.325824878	1.304329606
0.4406015038	0.3870867973	0.5191761264	1.341239562	1.331577502	1.309702719
0.448245614	0.3887590732	0.5213060694	1.340948946	1.337330127	1.315075832
0.4558897243	0.3904313491	0.5234360123	1.340660819	1.343082751	1.320448945
0.4635338346	0.3921036251	0.5255659553	1.34037515	1.348835376	1.325822058
0.4711779449	0.393775901	0.5276958982	1.340091907	1.354588	1.331195172
0.4788220551	0.3954481769	0.5298258412	1.33981106	1.360340625	1.336568285
0.4864661654	0.3971204528	0.5319557841	1.339532579	1.366093249	1.341941398
0.4941102757	0.3987927287	0.5340857271	1.339256432	1.371845874	1.347314511
0.501754386	0.4004650046	0.53621567	1.338982592	1.377598498	1.352687624
0.5093984962	0.4021372805	0.538345613	1.33871103	1.383351123	1.358060737
0.5170426065	0.4038095564	0.5404755559	1.338441717	1.389103747	1.363433851
0.5246867168	0.4054818324	0.5426054989	1.338174625	1.394856371	1.368806964
0.5323308271	0.4071541083	0.5447354418	1.337909727	1.400608996	1.374180077
0.5399749373	0.4088263842	0.5468653848	1.337646996	1.40636162	1.37955319
0.5476190476	0.4104986601	0.5489953278	1.337386406	1.412114245	1.384926303
0.5552631579	0.412170936	0.5511252707	1.337127931	1.417866869	1.390299416
0.5629072682	0.4138432119	0.5532552137	1.336871544	1.423619494	1.395672529
0.5705513784	0.4155154878	0.5553851566	1.336617221	1.429372118	1.401045643
0.5781954887	0.4171877637	0.5575150996	1.336364937	1.435124743	1.406418756
0.585839599	0.4188600397	0.5596450425	1.336114667	1.440877367	1.411791869
0.5934837093	0.4205323156	0.5617749855	1.335866388	1.446629992	1.417164982
0.6011278195	0.4222045915	0.5639049284	1.335620076	1.452382616	1.422538095
0.6087719298	0.4238768674	0.5660348714	1.335375707	1.458135241	1.427911208
0.6164160401	0.4255491433	0.5681648143	1.335133258	1.463887865	1.433284322
0.6240601504	0.4272214192	0.5702947573	1.334892708	1.46964049	1.438657435
0.6317042607	0.4288936951	0.5724247002	1.334654034	1.475393114	1.444030548
0.6393483709	0.430565971	0.5745546432	1.334417213	1.481145739	1.449403661
0.6469924812	0.432238247	0.5766845861	1.334182225	1.486898363	1.454776774
0.6546365915	0.4339105229	0.5788145291	1.333949048	1.492650987	1.460149887
0.6622807018	0.4355827988	0.580944472	1.333717662	1.498403612	1.465523
0.669924812	0.4372550747	0.583074415	1.333488046	1.504156236	1.470896114
0.6775689223	0.4389273506	0.5852043579	1.333260179	1.509908861	1.476269227
0.6852130326	0.4405996265	0.5873343009	1.333034042	1.515661485	1.48164234
0.6928571429	0.4422719024	0.5894642438	1.332809615	1.52141411	1.487015453
0.7005012531	0.4439441783	0.5915941868	1.332586878	1.527166734	1.492388566
0.7081453634	0.4456164543	0.5937241297	1.332365814	1.532919359	1.497761679
0.7157894737	0.4472887302	0.5958540727	1.332146402	1.538671983	1.503134793
0.723433584	0.4489610061	0.5979840156	1.331928625	1.544424608	1.508507906
0.7310776942	0.450633282	0.6001139586	1.331712465	1.550177232	1.513881019
0.7387218045	0.4523055579	0.6022439015	1.331497902	1.555929857	1.519254132
0.7463659148	0.4539778338	0.6043738445	1.331284921	1.561682481	1.524627245
0.7540100251	0.4556501097	0.6065037874	1.331073502	1.567435106	1.530000358
0.7616541353	0.4573223856	0.6086337304	1.33086363	1.57318773	1.535373472
0.7692982456	0.4589946616	0.6107636734	1.330655288	1.578940355	1.540746585
0.7769423559	0.4606669375	0.6128936163	1.330448457	1.584692979	1.546119698
0.7845864662	0.4623392134	0.6150235593	1.330243123	1.590445603	1.551492811
0.7922305764	0.4640114893	0.6171535022	1.330039269	1.596198228	1.556865924
0.7998746867	0.4656837652	0.6192834452	1.32983688	1.601950852	1.562239037
0.807518797	0.4673560411	0.6214133881	1.329635938	1.607703477	1.56761215
0.8151629073	0.469028317	0.6235433311	1.329436429	1.613456101	1.572985264
0.8228070175	0.4707005929	0.625673274	1.329238338	1.619208726	1.578358377
0.8304511278	0.4723728689	0.627803217	1.32904165	1.62496135	1.58373149
0.8380952381	0.4740451448	0.6299331599	1.328846349	1.630713975	1.589104603
0.8457393484	0.4757174207	0.6320631029	1.328652421	1.636466599	1.594477716
0.8533834586	0.4773896966	0.6341930458	1.328459852	1.642219224	1.599850829
0.8610275689	0.4790619725	0.6363229888	1.328268628	1.647971848	1.605223943
0.8686716792	0.4807342484	0.6384529317	1.328078733	1.653724473	1.610597056
0.8763157895	0.4824065243	0.6405828747	1.327890156	1.659477097	1.615970169
0.8839598997	0.4840788002	0.6427128176	1.327702881	1.665229722	1.621343282
0.89160401	0.4857510762	0.6448427606	1.327516895	1.670982346	1.626716395
0.8992481203	0.4874233521	0.6469727035	1.327332186	1.676734971	1.632089508
0.9068922306	0.489095628	0.6491026465	1.32714874	1.682487595	1.637462621
0.9145363409	0.4907679039	0.6512325894	1.326966544	1.688240219	1.642835735
0.9221804511	0.4924401798	0.6533625324	1.326785586	1.693992844	1.648208848
0.9298245614	0.4941124557	0.6554924753	1.326605852	1.699745468	1.653581961
0.9374686717	0.4957847316	0.6576224183	1.326427331	1.705498093	1.658955074
0.945112782	0.4974570075	0.6597523612	1.32625001	1.711250717	1.664328187
0.9527568922	0.4991292835	0.6618823042	1.326073877	1.717003342	1.6697013
0.9604010025	0.5008015594	0.6640122471	1.325898921	1.722755966	1.675074414
0.9680451128	0.5024738353	0.6661421901	1.325725129	1.728508591	1.680447527
0.9756892231	0.5041461112	0.6682721331	1.32555249	1.734261215	1.68582064
0.9833333333	0.5058183871	0.670402076	1.325380993	1.74001384	1.691193753
0.9909774436	0.507490663	0.672532019	1.325210625	1.745766464	1.696566866
0.9986215539	0.5091629389	0.6746619619	1.325041377	1.751519089	1.701939979
1.006265664	0.5108352148	0.6767919049	1.324873237	1.757271713	1.707313093
1.013909774	0.5125074908	0.6789218478	1.324706195	1.763024338	1.712686206
1.021553885	0.5141797667	0.6810517908	1.324540238	1.768776962	1.718059319
1.029197995	0.5158520426	0.6831817337	1.324375358	1.774529587	1.723432432
1.036842105	0.5175243185	0.6853116767	1.324211544	1.780282211	1.728805545
1.044486216	0.5191965944	0.6874416196	1.324048784	1.786034836	1.734178658
1.052130326	0.5208688703	0.6895715626	1.32388707	1.79178746	1.739551771
1.059774436	0.5225411462	0.6917015055	1.323726391	1.797540084	1.744924885
1.067418546	0.5242134221	0.6938314485	1.323566737	1.803292709	1.750297998
1.075062657	0.5258856981	0.6959613914	1.323408098	1.809045333	1.755671111
1.082706767	0.527557974	0.6980913344	1.323250465	1.814797958	1.761044224
1.090350877	0.5292302499	0.7002212773	1.323093828	1.820550582	1.766417337
1.097994987	0.5309025258	0.7023512203	1.322938178	1.826303207	1.77179045
1.105639098	0.5325748017	0.7044811632	1.322783506	1.832055831	1.777163564
1.113283208	0.5342470776	0.7066111062	1.322629801	1.837808456	1.782536677
1.120927318	0.5359193535	0.7087410491	1.322477056	1.84356108	1.78790979
1.128571429	0.5375916294	0.7108709921	1.322325262	1.849313705	1.793282903
1.136215539	0.5392639054	0.713000935	1.322174408	1.855066329	1.798656016
1.143859649	0.5409361813	0.715130878	1.322024488	1.860818954	1.804029129
1.151503759	0.5426084572	0.7172608209	1.321875491	1.866571578	1.809402242
1.15914787	0.5442807331	0.7193907639	1.32172741	1.872324203	1.814775356
1.16679198	0.545953009	0.7215207068	1.321580237	1.878076827	1.820148469
1.17443609	0.5476252849	0.7236506498	1.321433962	1.883829452	1.825521582
1.182080201	0.5492975608	0.7257805927	1.321288577	1.889582076	1.830894695
1.189724311	0.5509698367	0.7279105357	1.321144076	1.8953347	1.836267808
1.197368421	0.5526421127	0.7300404787	1.321000448	1.901087325	1.841640921
1.205012531	0.5543143886	0.7321704216	1.320857688	1.906839949	1.847014035
1.212656642	0.5559866645	0.7343003646	1.320715786	1.912592574	1.852387148
1.220300752	0.5576589404	0.7364303075	1.320574735	1.918345198	1.857760261
1.227944862	0.5593312163	0.7385602505	1.320434528	1.924097823	1.863133374
1.235588972	0.5610034922	0.7406901934	1.320295156	1.929850447	1.868506487
1.243233083	0.5626757681	0.7428201364	1.320156613	1.935603072	1.8738796
1.250877193	0.564348044	0.7449500793	1.320018891	1.941355696	1.879252713
1.258521303	0.56602032	0.7470800223	1.319881983	1.947108321	1.884625827
1.266165414	0.5676925959	0.7492099652	1.319745881	1.952860945	1.88999894
1.273809524	0.5693648718	0.7513399082	1.319610579	1.95861357	1.895372053
1.281453634	0.5710371477	0.7534698511	1.319476069	1.964366194	1.900745166
1.289097744	0.5727094236	0.7555997941	1.319342345	1.970118819	1.906118279
1.296741855	0.5743816995	0.757729737	1.3192094	1.975871443	1.911491392
1.304385965	0.5760539754	0.75985968	1.319077226	1.981624068	1.916864506
1.312030075	0.5777262513	0.7619896229	1.318945818	1.987376692	1.922237619
1.319674185	0.5793985273	0.7641195659	1.318815168	1.993129316	1.927610732
1.327318296	0.5810708032	0.7662495088	1.31868527	1.998881941	1.932983845
1.334962406	0.5827430791	0.7683794518	1.318556117	2.004634565	1.938356958
1.342606516	0.584415355	0.7705093947	1.318427704	2.01038719	1.943730071
1.350250627	0.5860876309	0.7726393377	1.318300024	2.016139814	1.949103185
1.357894737	0.5877599068	0.7747692806	1.31817307	2.021892439	1.954476298
1.365538847	0.5894321827	0.7768992236	1.318046836	2.027645063	1.959849411
1.373182957	0.5911044586	0.7790291665	1.317921317	2.033397688	1.965222524
1.380827068	0.5927767346	0.7811591095	1.317796506	2.039150312	1.970595637
1.388471178	0.5944490105	0.7832890524	1.317672397	2.044902937	1.97596875
1.396115288	0.5961212864	0.7854189954	1.317548984	2.050655561	1.981341863
1.403759398	0.5977935623	0.7875489384	1.317426262	2.056408186	1.986714977
1.411403509	0.5994658382	0.7896788813	1.317304225	2.06216081	1.99208809
1.419047619	0.6011381141	0.7918088243	1.317182866	2.067913435	1.997461203
1.426691729	0.60281039	0.7939387672	1.317062181	2.073666059	2.002834316
1.43433584	0.6044826659	0.7960687102	1.316942164	2.079418684	2.008207429
1.44197995	0.6061549419	0.7981986531	1.316822809	2.085171308	2.013580542
1.44962406	0.6078272178	0.8003285961	1.31670411	2.090923932	2.018953656
1.45726817	0.6094994937	0.802458539	1.316586063	2.096676557	2.024326769
1.464912281	0.6111717696	0.804588482	1.316468662	2.102429181	2.029699882
1.472556391	0.6128440455	0.8067184249	1.316351902	2.108181806	2.035072995
