# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: tphi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
tphi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-5.576441103	0.2906979103	0.4185333102	1.439753419	1	1.055815525
-5.526315789	0.2906979103	0.4183344276	1.439069263	1	1.055313812
-5.476190476	0.2906979103	0.4181355449	1.438385107	1	1.0548121
-5.426065163	0.2906979103	0.4179366622	1.437700951	1	1.054310387
-5.37593985	0.2906979103	0.4177377795	1.437016795	1	1.053808674
-5.325814536	0.2906979103	0.4175388968	1.43633264	1	1.053306962
-5.275689223	0.2906979103	0.4173400141	1.435648484	1	1.052805249
-5.22556391	0.2906979103	0.4171411314	1.434964328	1	1.052303537
-5.175438596	0.2906979103	0.4169422487	1.434280172	1	1.051801824
-5.125313283	0.2906979103	0.4167433661	1.433596016	1	1.051300112
-5.07518797	0.2906979103	0.4165444834	1.43291186	1	1.050798399
-5.025062657	0.2906979103	0.4163456007	1.432227704	1	1.050296686
-4.974937343	0.2906979103	0.416146718	1.431543548	1	1.049794974
-4.92481203	0.2906979103	0.4159478353	1.430859392	1	1.049293261
-4.874686717	0.2906979103	0.4157489526	1.430175237	1	1.048791549
-4.824561404	0.2906979103	0.4155500699	1.429491081	1	1.048289836
-4.77443609	0.2906979103	0.4153511873	1.428806925	1	1.047788123
-4.724310777	0.2906979103	0.4151523046	1.428122769	1	1.047286411
-4.674185464	0.2906979103	0.4149534219	1.427438613	1	1.046784698
-4.62406015	0.2906979103	0.4147545392	1.426754457	1	1.046282986
-4.573934837	0.2906979103	0.4145556565	1.426070301	1	1.045781273
-4.523809524	0.2906979103	0.4143567738	1.425386145	1	1.045279561
-4.473684211	0.2906979103	0.4141578911	1.424701989	1	1.044777848
-4.423558897	0.2906979103	0.4139590085	1.424017834	1	1.044276135
-4.373433584	0.2906979103	0.4137601258	1.423333678	1	1.043774423
-4.323308271	0.2906979103	0.4135612431	1.422649522	1	1.04327271
-4.273182957	0.2906979103	0.4133623604	1.421965366	1	1.042770998
-4.223057644	0.2906979103	0.4131634777	1.42128121	1	1.042269285
-4.172932331	0.2906979103	0.412964595	1.420597054	1	1.041767573
-4.122807018	0.2906979103	0.4127657123	1.419912898	1	1.04126586
-4.072681704	0.2906979103	0.4125668296	1.419228742	1	1.040764147
-4.022556391	0.2906979103	0.412367947	1.418544586	1	1.040262435
-3.972431078	0.2906979103	0.4121690643	1.417860431	1	1.039760722
-3.922305764	0.2906979103	0.4119701816	1.417176275	1	1.03925901
-3.872180451	0.2906979103	0.4117712989	1.416492119	1	1.038757297
-3.822055138	0.2906979103	0.4115724162	1.415807963	1	1.038255584
-3.771929825	0.2906979103	0.4113735335	1.415123807	1	1.037753872
-3.721804511	0.2906979103	0.4111746508	1.414439651	1	1.037252159
-3.671679198	0.2906979103	0.4109757682	1.413755495	1	1.036750447
-3.621553885	0.2906979103	0.4107768855	1.413071339	1	1.036248734
-3.571428571	0.2906979103	0.4105780028	1.412387183	1	1.035747022
-3.521303258	0.2906979103	0.4103791201	1.411703028	1	1.035245309
-3.471177945	0.2906979103	0.4101802374	1.411018872	1	1.034743596
-3.421052632	0.2906979103	0.4099813547	1.410334716	1	1.034241884
-3.370927318	0.2906979103	0.409782472	1.40965056	1	1.033740171
-3.320802005	0.2906979103	0.4095835893	1.408966404	1	1.033238459
-3.270676692	0.2906979103	0.4093847067	1.408282248	1	1.032736746
-3.220551378	0.2906979103	0.409185824	1.407598092	1	1.032235033
-3.170426065	0.2906979103	0.4089869413	1.406913936	1	1.031733321
-3.120300752	0.2906979103	0.4087880586	1.406229781	1	1.031231608
-3.070175439	0.2906979103	0.4085891759	1.405545625	1	1.030729896
-3.020050125	0.2906979103	0.4083902932	1.404861469	1	1.030228183
-2.969924812	0.2906979103	0.4081914105	1.404177313	1	1.029726471
-2.919799499	0.2906979103	0.4079925279	1.403493157	1	1.029224758
-2.869674185	0.2906979103	0.4077936452	1.402809001	1	1.028723045
-2.819548872	0.2906979103	0.4075947625	1.402124845	1	1.028221333
-2.769423559	0.2906979103	0.4073958798	1.401440689	1	1.02771962
-2.719298246	0.2906979103	0.4071969971	1.400756533	1	1.027217908
-2.669172932	0.2906979103	0.4069981144	1.400072378	1	1.026716195
-2.619047619	0.2906979103	0.4067992317	1.399388222	1	1.026214482
-2.568922306	0.2906979103	0.4066003491	1.398704066	1	1.02571277
-2.518796992	0.2906979103	0.4064014664	1.39801991	1	1.025211057
-2.468671679	0.2906979103	0.4062025837	1.397335754	1	1.024709345
-2.418546366	0.2906979103	0.406003701	1.396651598	1	1.024207632
-2.368421053	0.2906979103	0.4058048183	1.395967442	1	1.02370592
-2.318295739	0.2906979103	0.4056059356	1.395283286	1	1.023204207
-2.268170426	0.2906979103	0.4054070529	1.39459913	1	1.022702494
-2.218045113	0.2906979103	0.4052081702	1.393914975	1	1.022200782
-2.167919799	0.2906979103	0.4050092876	1.393230819	1	1.021699069
-2.117794486	0.2906979103	0.4048104049	1.392546663	1	1.021197357
-2.067669173	0.2906979103	0.4046115222	1.391862507	1	1.020695644
