# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-4.263157895	0.5879258782	0.7587582667	1.290567901	2.02246338	1.914086019
-4.218045113	0.5847806087	0.7549238682	1.290952294	2.011643662	1.904413151
-4.172932331	0.5816353392	0.7510894697	1.291340844	2.000823943	1.894740283
-4.127819549	0.5784900697	0.7472550713	1.291733619	1.990004225	1.885067415
-4.082706767	0.5753448002	0.7434206728	1.292130689	1.979184507	1.875394547
-4.037593985	0.5721995307	0.7395862743	1.292532123	1.968364788	1.865721679
-3.992481203	0.5690542612	0.7357518759	1.292937996	1.95754507	1.856048811
-3.947368421	0.5659089917	0.7319174774	1.29334838	1.946725352	1.846375943
-3.902255639	0.5627637222	0.7280830789	1.293763351	1.935905633	1.836703075
-3.857142857	0.5596184527	0.7242486805	1.294182987	1.925085915	1.827030208
-3.812030075	0.5564731832	0.720414282	1.294607366	1.914266197	1.81735734
-3.766917293	0.5533279137	0.7165798835	1.29503657	1.903446478	1.807684472
-3.721804511	0.5501826442	0.7127454851	1.295470682	1.89262676	1.798011604
-3.676691729	0.5470373747	0.7089110866	1.295909785	1.881807042	1.788338736
-3.631578947	0.5438921052	0.7050766881	1.296353967	1.870987324	1.778665868
-3.586466165	0.5407468357	0.7012422896	1.296803316	1.860167605	1.768993
-3.541353383	0.5376015662	0.6974078912	1.297257923	1.849347887	1.759320132
-3.496240602	0.5344562967	0.6935734927	1.297717881	1.838528169	1.749647264
-3.45112782	0.5313110272	0.6897390942	1.298183284	1.82770845	1.739974396
-3.406015038	0.5281657577	0.6859046958	1.298654231	1.816888732	1.730301528
-3.360902256	0.5250204881	0.6820702973	1.29913082	1.806069014	1.72062866
-3.315789474	0.5218752186	0.6782358988	1.299613154	1.795249295	1.710955792
-3.270676692	0.5187299491	0.6744015004	1.300101337	1.784429577	1.701282925
-3.22556391	0.5155846796	0.6705671019	1.300595476	1.773609859	1.691610057
-3.180451128	0.5124394101	0.6667327034	1.301095681	1.762790141	1.681937189
