# VHH-NNLO SMEFT grid scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-11.92307692	-0.02564102564	0.6360512219	0.7421718695	1.166842927	3.977981982	3.965973564
-11.92307692	0.02564102564	0.6607674601	0.771013352	1.166845219	4.132561907	4.12009495
-11.92307692	0.07692307692	0.6854836982	0.7998548344	1.166847347	4.287141832	4.274216335
-11.92307692	0.1282051282	0.7101999364	0.8286963168	1.166849326	4.441721757	4.428337721
-11.92307692	0.1794871795	0.7349161745	0.8575377993	1.166851172	4.596301681	4.582459106
-11.92307692	0.2307692308	0.7596324127	0.8863792817	1.166852897	4.750881606	4.736580492
-11.92307692	0.2820512821	0.7843486508	0.9152207642	1.166854515	4.905461531	4.890701878
-11.92307692	0.3333333333	0.809064889	0.9440622466	1.166856033	5.060041456	5.044823263
-11.92307692	0.3846153846	0.8337811271	0.972903729	1.166857461	5.21462138	5.198944649
-11.92307692	0.4358974359	0.8584973652	1.001745211	1.166858807	5.369201305	5.353066034
