# VHH-NNLO SMEFT grid scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-12.94871795	-0.2307692308	0.5792091859	0.6757915536	1.166748681	3.622481376	3.611254409
-12.94871795	-0.1794871795	0.603925424	0.704633036	1.166755046	3.7770613	3.765375795
-12.94871795	-0.1282051282	0.6286416621	0.7334745185	1.166760911	3.931641225	3.919497181
-12.94871795	-0.07692307692	0.6533579003	0.7623160009	1.166766332	4.08622115	4.073618566
-12.94871795	-0.02564102564	0.6780741384	0.7911574833	1.166771358	4.240801075	4.227739952
-12.94871795	0.02564102564	0.7027903766	0.8199989658	1.16677603	4.395380999	4.381861337
-12.94871795	0.07692307692	0.7275066147	0.8488404482	1.166780385	4.549960924	4.535982723
-12.94871795	0.1282051282	0.7522228529	0.8776819306	1.166784454	4.704540849	4.690104109
-12.94871795	0.1794871795	0.776939091	0.9065234131	1.166788264	4.859120773	4.844225494
-12.94871795	0.2307692308	0.8016553292	0.9353648955	1.166791839	5.013700698	4.99834688
-12.94871795	0.2820512821	0.8263715673	0.9642063779	1.1667952	5.168280623	5.152468265
-12.94871795	0.3333333333	0.8510878054	0.9930478604	1.166798366	5.322860548	5.306589651
-12.94871795	0.3846153846	0.8758040436	1.021889343	1.166801353	5.477440472	5.460711036
-12.94871795	0.4358974359	0.9005202817	1.050730825	1.166804176	5.632020397	5.614832422
-12.94871795	0.4871794872	0.9252365199	1.079572308	1.166806848	5.786600322	5.768953808
-12.94871795	0.5384615385	0.949952758	1.10841379	1.166809382	5.941180246	5.923075193
-12.94871795	0.5897435897	0.9746689962	1.137255273	1.166811786	6.095760171	6.077196579
-12.94871795	0.641025641	0.9993852343	1.166096755	1.166814072	6.250340096	6.231317964
-12.94871795	0.6923076923	1.024101472	1.194938237	1.166816248	6.404920021	6.38543935
-12.94871795	0.7435897436	1.048817711	1.22377972	1.166818321	6.559499945	6.539560736
-12.94871795	0.7948717949	1.073533949	1.252621202	1.166820298	6.71407987	6.693682121
-12.94871795	0.8461538462	1.098250187	1.281462685	1.166822187	6.868659795	6.847803507
-12.94871795	0.8974358974	1.122966425	1.310304167	1.166823992	7.02323972	7.001924892
-12.94871795	0.9487179487	1.147682663	1.33914565	1.16682572	7.177819644	7.156046278
-12.94871795	1	1.172398901	1.367987132	1.166827375	7.332399569	7.310167664
-12.43589744	-1	0.1874541555	0.2186765102	1.16655995	1.172372959	1.168550432
-12.43589744	-0.9487179487	0.2121703936	0.2475179926	1.166600054	1.326952883	1.322671817
-12.43589744	-0.8974358974	0.2368866317	0.2763594751	1.166631789	1.481532808	1.476793203
-12.43589744	-0.8461538462	0.2616028699	0.3052009575	1.166657528	1.636112733	1.630914588
-12.43589744	-0.7948717949	0.286319108	0.3340424399	1.166678823	1.790692658	1.785035974
