# VHH-NNLO SMEFT scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axis: phiBox
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phiBox	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.5160401003	0.2239747988	0.2622365744	1.170830717	1.400779817	1.401324092
0.5238095238	0.2249396059	0.2633672949	1.170835584	1.406813899	1.407366369
0.5315789474	0.2259044129	0.2644980153	1.17084041	1.41284798	1.413408645
0.5393483709	0.22686922	0.2656287358	1.170845194	1.418882062	1.419450921
0.5471177945	0.227834027	0.2667594563	1.170849937	1.424916144	1.425493198
0.554887218	0.2287988341	0.2678901767	1.170854641	1.430950226	1.431535474
0.5626566416	0.2297636411	0.2690208972	1.170859305	1.436984307	1.43757775
0.5704260652	0.2307284482	0.2701516177	1.17086393	1.443018389	1.443620026
0.5781954887	0.2316932552	0.2712823381	1.170868517	1.449052471	1.449662303
0.5859649123	0.2326580623	0.2724130586	1.170873066	1.455086553	1.455704579
0.5937343358	0.2336228693	0.2735437791	1.170877577	1.461120634	1.461746855
0.6015037594	0.2345876764	0.2746744995	1.17088205	1.467154716	1.467789132
0.609273183	0.2355524834	0.27580522	1.170886488	1.473188798	1.473831408
0.6170426065	0.2365172905	0.2769359405	1.170890889	1.47922288	1.479873684
0.6248120301	0.2374820975	0.2780666609	1.170895254	1.485256961	1.48591596
0.6325814536	0.2384469046	0.2791973814	1.170899584	1.491291043	1.491958237
0.6403508772	0.2394117116	0.2803281019	1.170903879	1.497325125	1.498000513
0.6481203008	0.2403765187	0.2814588223	1.17090814	1.503359207	1.504042789
0.6558897243	0.2413413257	0.2825895428	1.170912366	1.509393288	1.510085066
0.6636591479	0.2423061328	0.2837202633	1.170916559	1.51542737	1.516127342
0.6714285714	0.2432709398	0.2848509837	1.170920719	1.521461452	1.522169618
0.679197995	0.2442357469	0.2859817042	1.170924846	1.527495534	1.528211894
0.6869674185	0.245200554	0.2871124247	1.17092894	1.533529615	1.534254171
0.6947368421	0.246165361	0.2882431452	1.170933002	1.539563697	1.540296447
0.7025062657	0.2471301681	0.2893738656	1.170937032	1.545597779	1.546338723
0.7102756892	0.2480949751	0.2905045861	1.170941032	1.551631861	1.552381
0.7180451128	0.2490597822	0.2916353066	1.170945	1.557665942	1.558423276
0.7258145363	0.2500245892	0.292766027	1.170948937	1.563700024	1.564465552
0.7335839599	0.2509893963	0.2938967475	1.170952844	1.569734106	1.570507828
0.7413533835	0.2519542033	0.295027468	1.170956722	1.575768188	1.576550105
0.749122807	0.2529190104	0.2961581884	1.17096057	1.581802269	1.582592381
0.7568922306	0.2538838174	0.2972889089	1.170964388	1.587836351	1.588634657
0.7646616541	0.2548486245	0.2984196294	1.170968178	1.593870433	1.594676933
0.7724310777	0.2558134315	0.2995503498	1.170971939	1.599904515	1.60071921
0.7802005013	0.2567782386	0.3006810703	1.170975671	1.605938596	1.606761486
0.7879699248	0.2577430456	0.3018117908	1.170979376	1.611972678	1.612803762
0.7957393484	0.2587078527	0.3029425112	1.170983053	1.61800676	1.618846039
0.8035087719	0.2596726597	0.3040732317	1.170986703	1.624040842	1.624888315
0.8112781955	0.2606374668	0.3052039522	1.170990326	1.630074923	1.630930591
0.819047619	0.2616022738	0.3063346726	1.170993922	1.636109005	1.636972867
0.8268170426	0.2625670809	0.3074653931	1.170997492	1.642143087	1.643015144
0.8345864662	0.2635318879	0.3085961136	1.171001035	1.648177169	1.64905742
0.8423558897	0.264496695	0.309726834	1.171004553	1.65421125	1.655099696
0.8501253133	0.265461502	0.3108575545	1.171008045	1.660245332	1.661141973
0.8578947368	0.2664263091	0.311988275	1.171011512	1.666279414	1.667184249
0.8656641604	0.2673911161	0.3131189955	1.171014954	1.672313496	1.673226525
0.873433584	0.2683559232	0.3142497159	1.171018371	1.678347577	1.679268801
0.8812030075	0.2693207303	0.3153804364	1.171021763	1.684381659	1.685311078
0.8889724311	0.2702855373	0.3165111569	1.171025131	1.690415741	1.691353354
0.8967418546	0.2712503444	0.3176418773	1.171028476	1.696449823	1.69739563
0.9045112782	0.2722151514	0.3187725978	1.171031797	1.702483904	1.703437907
0.9122807018	0.2731799585	0.3199033183	1.171035094	1.708517986	1.709480183
0.9200501253	0.2741447655	0.3210340387	1.171038368	1.714552068	1.715522459
0.9278195489	0.2751095726	0.3221647592	1.171041619	1.72058615	1.721564735
0.9355889724	0.2760743796	0.3232954797	1.171044847	1.726620231	1.727607012
0.943358396	0.2770391867	0.3244262001	1.171048053	1.732654313	1.733649288
0.9511278195	0.2780039937	0.3255569206	1.171051236	1.738688395	1.739691564
0.9588972431	0.2789688008	0.3266876411	1.171054398	1.744722477	1.745733841
0.9666666667	0.2799336078	0.3278183615	1.171057538	1.750756558	1.751776117
0.9744360902	0.2808984149	0.328949082	1.171060656	1.75679064	1.757818393
0.9822055138	0.2818632219	0.3300798025	1.171063753	1.762824722	1.763860669
0.9899749373	0.282828029	0.3312105229	1.171066829	1.768858804	1.769902946
0.9977443609	0.283792836	0.3323412434	1.171069883	1.774892885	1.775945222
1.005513784	0.2847576431	0.3334719639	1.171072918	1.780926967	1.781987498
1.013283208	0.2857224501	0.3346026843	1.171075931	1.786961049	1.788029775
1.021052632	0.2866872572	0.3357334048	1.171078924	1.792995131	1.794072051
