# VHH-NNLO SMEFT scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axis: phiW
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-0.1533834586	0.08596722608	0.100870627	1.173361426	0.5376549319	0.5390264121
-0.1501253133	0.08753754347	0.102703037	1.173245591	0.5474759873	0.5488183347
-0.1468671679	0.08910786085	0.1045354469	1.17313384	0.5572970426	0.5586102573
-0.1436090226	0.09067817824	0.1063678569	1.173025958	0.567118098	0.56840218
-0.1403508772	0.09224849562	0.1082002669	1.17292175	0.5769391534	0.5781941026
-0.1370927318	0.09381881301	0.1100326769	1.172821029	0.5867602087	0.5879860252
-0.1338345865	0.09538913039	0.1118650868	1.172723626	0.5965812641	0.5977779478
-0.1305764411	0.09695944778	0.1136974968	1.172629377	0.6064023195	0.6075698704
-0.1273182957	0.09852976517	0.1155299068	1.172538132	0.6162233749	0.6173617931
-0.1240601504	0.1001000826	0.1173623168	1.17244975	0.6260444302	0.6271537157
-0.120802005	0.1016703999	0.1191947267	1.172364098	0.6358654856	0.6369456383
-0.1175438596	0.1032407173	0.1210271367	1.172281052	0.645686541	0.6467375609
-0.1142857143	0.1048110347	0.1228595467	1.172200494	0.6555075963	0.6565294835
-0.1110275689	0.1063813521	0.1246919566	1.172122315	0.6653286517	0.6663214061
-0.1077694236	0.1079516695	0.1265243666	1.17204641	0.6751497071	0.6761133288
-0.1045112782	0.1095219869	0.1283567766	1.171972681	0.6849707624	0.6859052514
-0.1012531328	0.1110923043	0.1301891866	1.171901037	0.6947918178	0.695697174
-0.09799498747	0.1126626216	0.1320215965	1.17183139	0.7046128732	0.7054890966
-0.09473684211	0.114232939	0.1338540065	1.171763658	0.7144339285	0.7152810192
-0.09147869674	0.1158032564	0.1356864165	1.171697763	0.7242549839	0.7250729419
-0.08822055138	0.1173735738	0.1375188265	1.171633631	0.7340760393	0.7348648645
-0.08496240602	0.1189438912	0.1393512364	1.171571193	0.7438970946	0.7446567871
-0.08170426065	0.1205142086	0.1411836464	1.171510381	0.75371815	0.7544487097
-0.07844611529	0.122084526	0.1430160564	1.171451134	0.7635392054	0.7642406323
-0.07518796992	0.1236548433	0.1448484664	1.171393392	0.7733602607	0.774032555
-0.07192982456	0.1252251607	0.1466808763	1.171337098	0.7831813161	0.7838244776
