# VHH-NNLO SMEFT scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axis: phi
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-7.781954887	0.4787378662	0.5588085911	1.167253795	2.99411516	2.986127864
-7.736842105	0.4768894898	0.5566539608	1.167259864	2.982555072	2.97461408
-7.691729323	0.4750411134	0.5544993304	1.167265979	2.970994984	2.963100295
-7.646616541	0.473192737	0.5523447	1.167272143	2.959434896	2.95158651
-7.601503759	0.4713443606	0.5501900696	1.167278355	2.947874808	2.940072726
-7.556390977	0.4694959842	0.5480354392	1.167284615	2.93631472	2.928558941
-7.511278195	0.4676476078	0.5458808089	1.167290925	2.924754632	2.917045156
-7.466165414	0.4657992314	0.5437261785	1.167297286	2.913194545	2.905531371
-7.421052632	0.463950855	0.5415715481	1.167303697	2.901634457	2.894017587
-7.37593985	0.4621024786	0.5394169177	1.167310159	2.890074369	2.882503802
-7.330827068	0.4602541022	0.5372622873	1.167316673	2.878514281	2.870990017
-7.285714286	0.4584057258	0.535107657	1.16732324	2.866954193	2.859476233
-7.240601504	0.4565573494	0.5329530266	1.16732986	2.855394105	2.847962448
-7.195488722	0.454708973	0.5307983962	1.167336533	2.843834017	2.836448663
-7.15037594	0.4528605966	0.5286437658	1.167343262	2.832273929	2.824934878
-7.105263158	0.4510122202	0.5264891354	1.167350045	2.820713841	2.813421094
-7.060150376	0.4491638438	0.524334505	1.167356884	2.809153754	2.801907309
-7.015037594	0.4473154673	0.5221798747	1.16736378	2.797593666	2.790393524
-6.969924812	0.4454670909	0.5200252443	1.167370733	2.786033578	2.778879739
-6.92481203	0.4436187145	0.5178706139	1.167377743	2.77447349	2.767365955
-6.879699248	0.4417703381	0.5157159835	1.167384813	2.762913402	2.75585217
-6.834586466	0.4399219617	0.5135613531	1.167391942	2.751353314	2.744338385
-6.789473684	0.4380735853	0.5114067228	1.167399131	2.739793226	2.732824601
-6.744360902	0.4362252089	0.5092520924	1.167406381	2.728233138	2.721310816
-6.69924812	0.4343768325	0.507097462	1.167413692	2.716673051	2.709797031
-6.654135338	0.4325284561	0.5049428316	1.167421067	2.705112963	2.698283246
-6.609022556	0.4306800797	0.5027882012	1.167428504	2.693552875	2.686769462
-6.563909774	0.4288317033	0.5006335709	1.167436006	2.681992787	2.675255677
-6.518796992	0.4269833269	0.4984789405	1.167443572	2.670432699	2.663741892
-6.473684211	0.4251349505	0.4963243101	1.167451205	2.658872611	2.652228108
-6.428571429	0.4232865741	0.4941696797	1.167458904	2.647312523	2.640714323
-6.383458647	0.4214381977	0.4920150493	1.16746667	2.635752435	2.629200538
-6.338345865	0.4195898213	0.489860419	1.167474505	2.624192347	2.617686753
-6.293233083	0.4177414449	0.4877057886	1.167482409	2.61263226	2.606172969
-6.248120301	0.4158930685	0.4855511582	1.167490384	2.601072172	2.594659184
-6.203007519	0.4140446921	0.4833965278	1.16749843	2.589512084	2.583145399
-6.157894737	0.4121963157	0.4812418974	1.167506547	2.577951996	2.571631614
-6.112781955	0.4103479393	0.479087267	1.167514738	2.566391908	2.56011783
-6.067669173	0.4084995629	0.4769326367	1.167523004	2.55483182	2.548604045
-6.022556391	0.4066511865	0.4747780063	1.167531344	2.543271732	2.53709026
-5.977443609	0.4048028101	0.4726233759	1.16753976	2.531711644	2.525576476
-5.932330827	0.4029544337	0.4704687455	1.167548254	2.520151557	2.514062691
-5.887218045	0.4011060573	0.4683141151	1.167556826	2.508591469	2.502548906
-5.842105263	0.3992576809	0.4661594848	1.167565477	2.497031381	2.491035121
-5.796992481	0.3974093045	0.4640048544	1.167574209	2.485471293	2.479521337
-5.751879699	0.3955609281	0.461850224	1.167583022	2.473911205	2.468007552
-5.706766917	0.3937125517	0.4596955936	1.167591919	2.462351117	2.456493767
-5.661654135	0.3918641753	0.4575409632	1.167600899	2.450791029	2.444979983
-5.616541353	0.3900157989	0.4553863329	1.167609964	2.439230941	2.433466198
-5.571428571	0.3881674225	0.4532317025	1.167619115	2.427670853	2.421952413
-5.526315789	0.3863190461	0.4510770721	1.167628354	2.416110766	2.410438628
-5.481203008	0.3844706697	0.4489224417	1.167637682	2.404550678	2.398924844
-5.436090226	0.3826222933	0.4467678113	1.1676471	2.39299059	2.387411059
-5.390977444	0.3807739169	0.4446131809	1.16765661	2.381430502	2.375897274
-5.345864662	0.3789255405	0.4424585506	1.167666212	2.369870414	2.36438349
-5.30075188	0.3770771641	0.4403039202	1.167675909	2.358310326	2.352869705
-5.255639098	0.3752287877	0.4381492898	1.167685701	2.346750238	2.34135592
-5.210526316	0.3733804113	0.4359946594	1.167695589	2.33519015	2.329842135
-5.165413534	0.3715320349	0.433840029	1.167705577	2.323630063	2.318328351
-5.120300752	0.3696836585	0.4316853987	1.167715664	2.312069975	2.306814566
-5.07518797	0.3678352821	0.4295307683	1.167725852	2.300509887	2.295300781
-5.030075188	0.3659869057	0.4273761379	1.167736144	2.288949799	2.283786996
